what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.core,0.11.3,"org.eclipse.egit.core",1302205197345
started,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1302205197353
started,bundle,org.eclipse.jgit,0.11.3,"org.eclipse.jgit",1302205197353
started,bundle,de.walware.ecommons.coremisc,0.9.0.b201101031800E36sw,"de.walware.ecommons.coremisc",1302205197354
started,bundle,de.walware.ecommons.uimisc,0.9.2.b201101031800E36sw,"de.walware.ecommons.uimisc",1302205197354
started,bundle,de.walware.statet.nico.core,0.9.2.b201101031800E36sw,"de.walware.statet.nico.core",1302205197355
started,bundle,de.walware.statet.nico.ui,0.9.2.b201101031800E36sw,"de.walware.statet.nico.ui",1302205197355
os,sysinfo,,,"macosx",1302205197374
arch,sysinfo,,,"x86_64",1302205197374
ws,sysinfo,,,"cocoa",1302205197374
locale,sysinfo,,,"en_US",1302205197374
processors,sysinfo,,,"2",1302205197374
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1302205197374
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1302205197374
java.specification.name,sysinfo,,,"Java Platform API Specification",1302205197374
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302205197374
java.specification.version,sysinfo,,,"1.6",1302205197374
java.vendor,sysinfo,,,"Apple Inc.",1302205197374
java.version,sysinfo,,,"1.6.0_24",1302205197374
java.vm.info,sysinfo,,,"mixed mode",1302205197374
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1302205197374
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302205197374
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302205197374
java.vm.specification.version,sysinfo,,,"1.0",1302205197374
java.vm.vendor,sysinfo,,,"Apple Inc.",1302205197374
java.vm.version,sysinfo,,,"19.1-b02-334",1302205197374
started,bundle,com.atlassian.connector.eclipse.jira.core,3.0.0.v20110210,"com.atlassian.connector.eclipse.jira.core",1302205197456
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1302205197461
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1302205197505
started,bundle,com.atlassian.connector.eclipse.commons.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.commons.ui",1302205197516
started,bundle,com.atlassian.connector.eclipse.jira.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.jira.ui",1302205197519
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1302205197565
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1302205197597
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1302205197631
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1302205197747
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1302205197760
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1302205197861
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1302205197947
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1302205197961
started,bundle,com.atlassian.connector.eclipse.branding.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.branding.ui",1302205197965
started,bundle,com.atlassian.connector.eclipse.monitor.ui,3.0.0.v20110210,"com.atlassian.connector.eclipse.monitor.ui",1302205197974
started,bundle,de.walware.ecommons.ltk.ui,0.9.2.b201101031800E36sw,"de.walware.ecommons.ltk.ui",1302206975076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302206975092
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1302206977716
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1302206977869
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1302206978119
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1302206978136
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1302206981062
